"#","Reference","Value","Qty","Supply URL","Supply name"
"1","C1","680pF/100V","1","https://www.mouser.vn/ProductDetail/Walsin/0603B681K101CT?qs=fIkAfuXiAQJgZmlKZZ5d%2Fg%3D%3D","Mouser"
"2","C2,C4","10nF/100V","2","https://www.mouser.vn/ProductDetail/Walsin/0603B103J101CT?qs=sGAEpiMZZMuMW9TJLBQkXlzjw5uhdiuXOomNSWAR9fk%3D","Mouser"
"3","C3","100uF/63V","1","https://www.thegioiic.com/tu-nhom-smd-100uf-63v-10x10-5mm","Thegioiic"
"4","C5","100nF/1KV","1","https://www.mouser.vn/ProductDetail/KEMET/C1812C104KDRACTU?qs=bKSwwZi%2FkPDxKxr8rInknw%3D%3D","Mouser"
"5","C6","NU","1","*","*"
"6","C7","470nF/16V","1","https://www.thegioiic.com/tu-gom-0603-470nf-16v","Thegioiic"
"7","C8","22nF/100V","1","https://www.mouser.vn/ProductDetail/TDK/C2012X7R2A223K125AA?qs=NRhsANhppD%2F9xVtGVBkXgQ%3D%3D","Mouser"
"8","C9","330pF/100V","1","https://www.mouser.vn/ProductDetail/Walsin/0603B331J101CT?qs=sGAEpiMZZMuMW9TJLBQkXlzjw5uhdiuX5MI0jHyDC5Y%3D","Mouser"
"9","C10","100uF/16V","1","https://www.thegioiic.com/tu-nhom-smd-100uf-16v-6-3x5-4mm","Thegioiic"
"10","C11","22uF/16V","1","https://www.thegioiic.com/tu-gom-0805-22uf-16v","Thegioiic"
"11","C12","4.7uF/50V","1","https://www.thegioiic.com/tu-gom-0805-4-7uf-50v","Thegioiic"
"12","C13","100nF/50V","1","https://www.thegioiic.com/tu-gom-0805-100nf-0-1uf-50v","Thegioiic"
"13","C14","4.7nF/50V","1","https://www.thegioiic.com/tu-gom-0603-4-7nf-50v","Thegioiic"
"14","C15","39pF/50V","1","https://www.thegioiic.com/tu-gom-0603-39pf-50v","Thegioiic"
"15","C16","10nF/50V","1","https://www.thegioiic.com/tu-gom-0603-10nf-50v","Thegioiic"
"16","C17","100nF/16V","1","https://www.thegioiic.com/tu-gom-0603-100nf-0-1uf-16v","Thegioiic"
"17","C18,C19","47uF/6.3V","2","https://www.thegioiic.com/tu-gom-0805-47uf-6-3v","Thegioiic"
"18","C20,C21,C24,C25,C28,C31,C32,C33","10uF/16V","8","https://www.thegioiic.com/tu-tantalum-10uf-16v-2312-tajc106k016rnj","Thegioiic"
"19","C22,C23,C26,C27,C29,C30","1uF/16V","6","https://www.thegioiic.com/tu-tantalum-1uf-16v-1206-taja105k016rnj","Thegioiic"
"20","D1,D3","CMSH3-100M TR13","2","https://www.mouser.vn/ProductDetail/Central-Semiconductor/CMSH3-100M-TR13-PBFREE?qs=u16ybLDytRbT2v7Hl0JPnQ%3D%3D","Mouser"
"21","D2","SS54","1","https://www.thegioiic.com/ss54-sma-diode-shotky-5a-40v","Thegioiic"
"22","D4","LED_0805","1","https://www.thegioiic.com/led-xanh-la-0805-dan-smd-trong-suot","Thegioiic"
"23","J1","BAT","1","https://www.thegioiic.com/ul-3-81-2-r-terminal-block-plug-in-han-pcb-2-chan-cong-3-81mm-300v-10a-ulo","Thegioiic"
"24","J2","POWER_CONN","1","https://www.thegioiic.com/ul-3-81-6-r-terminal-block-plug-in-han-pcb-6-chan-cong-3-81mm-300v-10a-ulo","Thegioiic"
"25","L1","68uH 3.2A","1","https://www.thegioiic.com/cuon-cam-dan-smd-cdrh127-1280-680-68uh-3-2a","Thegioiic"
"26","L2","6.8u/4.4A","1","http://www.tme.vn/Product.aspx?id=1383#page=pro_info","tme"
"27","R1,R8","20K/1%/1_10W","2","https://www.thegioiic.com/dien-tro-20-kohm-0603-1-","Thegioiic"
"28","R2,R12","49.9K/1%/1_10W","2","https://www.thegioiic.com/dien-tro-49-9-kohm-0603-1-","Thegioiic"
"29","R3","10R/5%/2W","1","https://www.thegioiic.com/dien-tro-10-ohm-2w-5-4-vong-mau","Thegioiic"
"30","R4","2K/1%/1_10W","1","https://www.thegioiic.com/dien-tro-2-kohm-0603-1-","Thegioiic"
"31","R5","6.8K/1%/1_10W","1","https://www.thegioiic.com/dien-tro-6-8-kohm-0603-1-","Thegioiic"
"32","R6","1K/1%/1_10W","1","https://www.thegioiic.com/dien-tro-1-kohm-0603-1-","Thegioiic"
"33","R7","100K/1%/1_10W","1","https://www.thegioiic.com/dien-tro-100-kohm-0603-1-","Thegioiic"
"34","R9","30K/1%/1_10W","1","https://www.thegioiic.com/dien-tro-30-kohm-0603-1-","Thegioiic"
"35","R10","0/1%/1_10W","1","https://www.thegioiic.com/dien-tro-0-ohm-0603-1-","Thegioiic"
"36","R11","2.49K/1%/1_10W","1","https://www.thegioiic.com/dien-tro-2-49-kohm-0603-1-","Thegioiic"
"37","R13,R14","10K/1%/1_10W","2","https://www.thegioiic.com/dien-tro-10-kohm-0603-1-","Thegioiic"
"38","U1","LM5576MHX/NOPB","1","http://www.tme.vn/Product.aspx?id=2046#page=pro_info","tme"
"39","U2","TPS54331DR","1","https://thegioiic.com/tps54331dr-ic-dieu-chinh-giam-ap-3a-8-soic","Thegioiic"
"40","U3,U4","LD1117S33CTR_SOT223","2","https://www.thegioiic.com/ld1117s33ctr-ic-on-ap-3-3v-800ma-sot-223","Thegioiic"
"41","U5","L7809CV","1","http://www.tme.vn/Product.aspx?id=2484#page=pro_info","tme"
"42","U6","ICL7662CBA","1","https://www.thegioiic.com/icl7662cba","Thegioiic"
