"#","Reference","Value","Qty","Supply URL","Supply name"
"1","C1,C12,C17","100nF 275V","3","https://www.thegioiic.com/tu-keo-vang-x2-100nf-0-1uf-104k-275vac","Thegioiic"
"2","C2,C3","4.7nF/50V","2","https://www.thegioiic.com/tu-gom-0603-4-7nf-50v","Thegioiic"
"3","C4,C15,C46,C47,C51,C64,C67,C71","1nF/50V","8","https://www.thegioiic.com/tu-gom-0603-1nf-50v","Thegioiic"
"4","C5,C9","1nF/2000V","2","https://www.thegioiic.com/tu-gom-xanh-1nf-2000v","Thegioiic"
"5","C6,C7,C19,C26,C27,C31,C37,C39,C42,C44,C50,C53,C54,C57,C58,C63,C76,C82,C83,C84,C85,C86,C87,C88,C89,C94,C96,C97,C98,C99,C100,C103","100nF/16V","32","https://www.thegioiic.com/tu-gom-0603-100nf-0-1uf-16v","Thegioiic"
"6","C8,C72","10uF/35V","2","https://banlinhkien.com/tu-tantalum-106v10uf-35v-smd6032-p6650491.html","Ban Linh Kien"
"7","C10,C11,C30,C40,C43,C45,C52,C55,C56,C59,C60,C69,C77,C78,C79,C90,C91,C92,C95,C101","10uF/16V","20","https://www.thegioiic.com/tu-gom-0603-10uf-16v","Thegioiic"
"8","C13","2.2nF/50V","1","https://www.thegioiic.com/tu-gom-0805-2-2nf-50v","Thegioiic"
"9","C14","*","1","*","Thegioiic"
"10","C16,C20,C34,C93","4.7uF/25V","4","https://www.thegioiic.com/tu-gom-0603-4-7uf-25v","Thegioiic"
"11","C18","330nF/50V","1","https://www.thegioiic.com/tu-gom-0603-330nf-50v","Thegioiic"
"12","C21","820pF/50V","1","https://www.thegioiic.com/tu-gom-0805-820pf-50v","Thegioiic"
"13","C22,C29","100nF/1KV","2","https://www.mouser.vn/ProductDetail/KEMET/C1812C104KDRACTU?qs=bKSwwZi%2FkPDxKxr8rInknw%3D%3D","Mouser"
"14","C23,C24,C25","100uF/400V","3","https://www.thegioiic.com/tu-hoa-100uf-400v-18x30mm-xuyen-lo","Thegioiic"
"15","C28,C102","1uF/16V","2","https://www.thegioiic.com/tu-gom-0603-1uf-16v","Thegioiic"
"16","C32,C33","33nF/630VDC","2","https://www.thegioiic.com/tu-keo-nau-polyester-cbb22-333-33nf-630vdc","Thegioiic"
"17","C35","22uF/16V","1","https://www.thegioiic.com/tu-gom-0805-22uf-16v","Thegioiic"
"18","C36,C38,C41","100uF /100V","3","https://www.thegioiic.com/tu-hoa-100uf-100v-10x17mm-xuyen-lo","Thegioiic"
"19","C48,C49","1pF/50V","2","https://www.thegioiic.com/tu-gom-0603-1pf-50v","Thegioiic"
"20","C61,C65,C66,C73","10uF/16V","4","https://www.thegioiic.com/tu-tantalum-10uf-16v-2312-tajc106k016rnj","Thegioiic"
"21","C62,C68,C70,C75","1uF/16V","4","https://www.thegioiic.com/tu-tantalum-1uf-16v-1206-taja105k016rnj","Thegioiic"
"22","C74","1uF/35V","1","https://banlinhkien.com/tu-tantalum-105v1uf-35v-smd3216-p6650485.html","Ban Linh Kien"
"23","C80,C81","20pF/50V","2","https://www.thegioiic.com/tu-gom-0603-20pf-50v","Thegioiic"
"24","C104","10nF/50V","1","https://www.thegioiic.com/tu-gom-0603-10nf-50v","Thegioiic"
"25","D1,D6","SS54","2","https://www.thegioiic.com/ss54-sma-diode-shotky-5a-40v","Thegioiic"
"26","D2","KBU1010","1","https://www.thegioiic.com/kbu808-cau-chinh-luu-800v-8a","Thegioiic"
"27","D3","RB068VWM100TFTR","1","https://www.mouser.vn/ProductDetail/ROHM-Semiconductor/RB068VWM-40TR?qs=MyNHzdoqoQIKY68Ge4Cv8A%3D%3D","Mouser"
"28","D4","1N5408","1","https://www.thegioiic.com/1n5408-diode-chinh-luu-3a-1kv","Thegioiic"
"29","D5,D7,D8","IDH06G65C6","3","https://www.mouser.vn/ProductDetail/Infineon-Technologies/IDH06G65C6XKSA1?qs=HXFqYaX1Q2y0Eo%2FTJueHsw%3D%3D","Mouser"
"30","D9","LED_5","1","https://www.thegioiic.com/led-xanh-duong-5mm-duc-chan-dai","Thegioiic"
"31","D10,D11,D12,D13","LED_0805","4","https://www.thegioiic.com/led-xanh-la-0805-dan-smd-trong-suot","Thegioiic"
"32","D14,D16","PESD2USB3UXT-QR","2","https://www.mouser.vn/ProductDetail/Nexperia/PESD2USB3UXT-QR?qs=3Rah4i%252BhyCErbBl4ep9%252BDw%3D%3D","Mouser"
"33","D15","SMF05C_1","1","","Thegioiic"
"34","F1","250VAC/7A","1","https://www.thegioiic.com/cau-chi-ong-thuy-tinh-7a-5x20mm-toc-do-f","Thegioiic"
"35","FB1,FB2","120R","2","https://www.thegioiic.com/cbw201209u121t-ferrite-beads-2a-120-ohm-0805","Thegioiic"
"36","J1","HB9500M-9.5-3P","1","https://www.thegioiic.com/hb9500-3-terminal-khoi-han-pcb-3-cuc-25a-300v-9-5mm","Thegioiic"
"37","J2,J4","Conn_01x02_Socket","2","","Thegioiic"
"38","J3","Conn_01x06_Socket","1","","Thegioiic"
"39","J5","Conn_01x04_Pin","1","","Thegioiic"
"40","J6","Conn_01x05_Socket","1","https://www.thegioiic.com/ul-3-81-5-r-terminal-block-plug-in-han-pcb-5-chan-cong-3-81mm-300v-10a-ulo","Thegioiic"
"41","K1","Relay 12VDC 10A","1","https://www.thegioiic.com/js1-12v-f-ro-le-12vdc-10a-spdt-5-chan","Thegioiic"
"42","L2","520uH","1","~","Nhật Tảo Market"
"43","L3","EER35_Transformer_Horizontal","1","","Nhật Tảo Market"
"44","Q1,Q3,Q9","MMBT2222A","3","https://www.thegioiic.com/mmbt2222a-1p-transistor-npn-40v-0-6a-3-chan-sot-23","Thegioiic"
"45","Q2","IPP60R125CP","1","https://www.mouser.vn/ProductDetail/Infineon-Technologies/IPP60R125CP?qs=mzcOS1kGbgfOA5Mkagkt9Q%3D%3D","Mouser"
"46","Q4,Q5","IPP60R125CP","2","https://www.mouser.vn/ProductDetail/Infineon-Technologies/IPP60R125CP?qs=mzcOS1kGbgfOA5Mkagkt9Q%3D%3D","Mouser"
"47","Q6,Q7,Q8","LN2302LT1G","3","http://www.tme.vn/Product.aspx?id=839#page=pro_info","tme"
"48","R1","200/1%/1_10W","1","https://www.thegioiic.com/dien-tro-200-ohm-0603-5-","Thegioiic"
"49","R2,R3,R32,R35","1M/1%/1_10W","4","https://www.thegioiic.com/dien-tro-1-mohm-0603-1-","Thegioiic"
"50","R4","2K2/1%/1_10W","1","https://www.thegioiic.com/dien-tro-2-2-kohm-0603-1-","Thegioiic"
"51","R5,R6,R23,R26,R27,R28,R29,R36,R41,R42,R50,R51,R52,R53,R54,R60,R61,R62,R63","10K/1%/1_10W","19","https://www.thegioiic.com/dien-tro-10-kohm-0603-1-","Thegioiic"
"52","R7","560R_2W_5%","1","https://www.thegioiic.com/dien-tro-560-ohm-2w-5-4-vong-mau","Thegioiic"
"53","R8","*","1","*","Thegioiic"
"54","R9","18K/1%/1_10W","1","https://www.thegioiic.com/dien-tro-18-kohm-0603-1-","Thegioiic"
"55","R10,R43","220/1%/1_10W","2","https://www.thegioiic.com/dien-tro-220-ohm-0603-1-","Thegioiic"
"56","R11,R13,R14","100mR/1%/1W","3","https://www.mouser.vn/ProductDetail/Bussmann-Eaton/MFHA1206R1000FC?qs=By6Nw2ByBD0YwgdC8L27pQ%3D%3D","Mouser"
"57","R12","22K/1%/1_10W","1","https://www.thegioiic.com/dien-tro-22-kohm-0603-1-","Thegioiic"
"58","R15","10R/1%/1_4","1","https://www.thegioiic.com/dien-tro-10-ohm-1206-1-","Thegioiic"
"59","R16","2R/5%/1_4W","1","https://www.thegioiic.com/dien-tro-2-ohm-1206-5-","Thegioiic"
"60","R17","10K/1%/1_4W","1","https://www.thegioiic.com/dien-tro-10-kohm-1206-1-","Thegioiic"
"61","R18,R19,R20","330K/1%/1W","3","https://www.thegioiic.com/dien-tro-330-kohm-1206-1-","Thegioiic"
"62","R21","13K/1%/1_10W","1","https://www.thegioiic.com/dien-tro-13-kohm-0603-1-","Thegioiic"
"63","R22,R37,R38,R39,R40","1K/1%/1_10W","5","https://www.thegioiic.com/dien-tro-10-kohm-0603-1-","Thegioiic"
"64","R24,R25","10R/1%/1_10W","2","https://www.thegioiic.com/dien-tro-10-ohm-0603-1-","Thegioiic"
"65","R30,R31","200K/1%/1_10W","2","https://www.thegioiic.com/dien-tro-200-kohm-0603-1-","Thegioiic"
"66","R33","12K/1%/1_4W","1","https://www.thegioiic.com/dien-tro-12-kohm-1206-5-","Thegioiic"
"67","R34","1K/1%/1_4W","1","https://www.thegioiic.com/dien-tro-1-kohm-1206-1-","Thegioiic"
"68","R44,R45,R46,R47,R48,R49","4K7/1%/1_10W","6","https://www.thegioiic.com/dien-tro-4-7-kohm-0603-1-","Thegioiic"
"69","R55,R56","20R/1%/1_10W","2","https://www.thegioiic.com/dien-tro-20-ohm-0603-1-","Thegioiic"
"70","R57,R58","47/5%/1_16W","2","https://www.thegioiic.com/dien-tro-47-ohm-0402-5-","Thegioiic"
"71","R59","120/1%/1_10W","1","https://www.thegioiic.com/dien-tro-120-ohm-0603-1-","Thegioiic"
"72","RV1","470V","1","https://www.thegioiic.com/tu-chong-set-varistor-07d471k-470v","Thegioiic"
"73","SW1","SW_Push","1","https://www.thegioiic.com/nut-nhan-3x4mm-cao-2-5mm-2-chan-smd","Thegioiic"
"74","TH1","3R","1","https://thegioiic.com/3d-15-dien-tro-nhiet-ntc-3-ohm-16-5-x-7mm","Thegioiic"
"75","TP1","PWM1","1","",""
"76","TP2","PWM2","1","",""
"77","TP3","GND","1","",""
"78","TP4","3V3","1","",""
"79","TP5","5V","1","",""
"80","TP6","-9V","1","",""
"81","TP7","9V","1","",""
"82","TP8","12V","1","",""
"83","TP9","VAC IN","1","",""
"84","TP10","Voltage LLC","1","",""
"85","TP11","Current ACS","1","",""
"86","U1","PC817X2NIPW","1","https://www.thegioiic.com/pc817x2nipw-optoisolator-transistor-output-5000vrms-1-channel-sop-4","Thegioiic"
"87","U2,U8,U9","OPAMP_OP07CSZ","3","https://www.thegioiic.com/op07csz-ic-opamp-general-purpose-amplifier-1-circuit-600khz-8-soic","Thegioiic"
"88","U3","UCC28180D","1","https://www.mouser.vn/ProductDetail/Texas-Instruments/UCC28180D?qs=mip%2Fk2qjOHrNzfWas1dt1A%3D%3D","Mouser"
"89","U4","SN74LVC1G14DBVR","1","http://www.tme.vn/Product.aspx?id=1845#page=pro_info","tme"
"90","U5","IR2101","1","https://www.thegioiic.com/ir2101strpbf-mosfet-2-ngo-ra-360-ma-20v-8-soic","Thegioiic"
"91","U6","AMC1351QDWVRQ1","1","https://www.mouser.vn/ProductDetail/Texas-Instruments/AMC1351QDWVRQ1?qs=MyNHzdoqoQIbY7Gqb6WfBQ%3D%3D","Mouser"
"92","U7","ACS712ELCTR-05B-T","1","https://www.thegioiic.com/acs712elctr-05b-t-cam-bien-dong-5a-1-kenh","Thegioiic"
"93","U10","ADS1115IDGS","1","https://www.thegioiic.com/ads1115idgsr-ic-adc-16-bit-sigma-delta-10-vssop","Thegioiic"
"94","U11","STM32F103C8T6","1","https://www.thegioiic.com/stm32f103c8t6-32-bit-arm-cortex-m3-microcontroller-72mhz-64kb-flash-48-lqfp","Thegioiic"
"95","U12","MAX485CSA","1","http://www.tme.vn/Product.aspx?id=482#page=pro_info","tme"
"96","Y1","Crystal_8MHz_SMD-4PIN","1","https://www.thegioiic.com/thach-anh-8mhz-3225-4-chan-smd","Thegioiic"
