"#","Reference","Value","Qty","Supply URL","Supply name"
"1","C1,C4","100nF/275V","2","https://www.thegioiic.com/tu-keo-vang-x2-100nf-0-1uf-104k-275vac","Thegioiic"
"2","C2,C3","1nF/2000V","2","https://www.thegioiic.com/tu-gom-xanh-1nf-2000v","Thegioiic"
"3","C5","100uF/400V","1","https://www.thegioiic.com/tu-hoa-100uf-400v-18x30mm-xuyen-lo","Thegioiic"
"4","C6","33nF/630VDC","1","https://www.thegioiic.com/tu-keo-nau-polyester-cbb22-333-33nf-630vdc","Thegioiic"
"5","C7,C25","0.68nF/250VAC","2","https://www.mouser.vn/ProductDetail/Vishay-Cera-Mite/440LT68-R?qs=hlCZAUV0QHOdKipaACpLUQ%3D%3D","Mouser"
"6","C8,C15","100nF/50V","2","https://www.thegioiic.com/tu-gom-1206-100nf-0-1uf-50v","Thegioiic"
"7","C9","47uF/16V","1","https://www.thegioiic.com/tu-nhom-smd-47uf-16v-5x5-4mm","Thegioiic"
"8","C10,C26","470pF/100V","2","https://www.thegioiic.com/tu-keo-xanh-470pf-100vdc-2a471j-cl11","Thegioiic"
"9","C11","10uF/50V","1","https://www.thegioiic.com/tu-nhom-smd-10uf-50v-6-3x5-4mm","Thegioiic"
"10","C12","4700uF_35V","1","https://www.thegioiic.com/tu-hoa-4700uf-35v-18x32mm-xuyen-lo","Thegioiic"
"11","C16,C28","100uF/16V","2","https://www.thegioiic.com/tu-nhom-smd-100uf-16v-6-3x5-4mm","Thegioiic"
"12","C17,C20,C21,C22,C23,C24,C29,C31,C33,C35,C37,C39,C41,C43","10uF/16V","14","https://www.thegioiic.com/tu-tantalum-10uf-16v-2312-tajc106k016rnj","Thegioiic"
"13","C18,C19,C30,C32,C34,C36,C38,C40,C42,C44","1uF/16V","10","https://www.thegioiic.com/tu-tantalum-1uf-16v-1206-taja105k016rnj","Thegioiic"
"14","C27","680uF/25V","1","https://www.thegioiic.com/tu-nhom-smd-680uf-25v-10x10-5mm","Thegioiic"
